Date,Portfolio_Value
2022-07-21,182528.64181510778
2022-07-22,178338.3835545918
2022-07-25,179641.59899423018
2022-07-26,176641.34777569474
2022-07-27,183421.522996581
2022-07-28,185937.23868311534
2022-07-29,189386.0313396225
2022-08-01,188215.61568921438
2022-08-02,187076.0477785645
2022-08-03,187475.58887348915
2022-08-04,185534.4754970124
2022-08-05,185633.3934594548
2022-08-08,184956.3031097224
2022-08-09,183983.39799904902
2022-08-10,188009.52755136986
2022-08-11,189592.14432323643
2022-08-12,193285.61097062624
2022-08-15,192707.40510488057
2022-08-16,192359.99933951258
2022-08-17,191247.09141545792
2022-08-18,193753.43915851053
2022-08-19,190408.76082277004
2022-08-22,186473.33856962124
2022-08-23,188185.65056956696
2022-08-24,189371.34296760816
2022-08-25,192488.63881552953
2022-08-26,186335.53948097792
2022-08-29,186369.45302250746
2022-08-30,183362.50044698513
2022-08-31,181885.9422917901
2022-09-01,180554.23315055188
2022-09-02,179897.7732803632
2022-09-06,177895.29702953962
2022-09-07,179066.4260659412
2022-09-08,179758.28147594267
2022-09-09,183251.17723502987
2022-09-12,185152.6194772516
2022-09-13,177081.34679710396
2022-09-14,179352.20141597564
2022-09-15,177012.26940264765
2022-09-16,176244.99687155138
2022-09-19,176347.0242781979
2022-09-20,174318.69191087811
2022-09-21,171729.0785768626
2022-09-22,170870.82139206727
2022-09-23,165711.71625335078
2022-09-26,163132.1713624266
2022-09-27,163686.63904890034
2022-09-28,168338.1171362561
2022-09-29,165966.06797241286
2022-09-30,164030.17527656344
2022-10-03,169863.70605833852
2022-10-04,174848.2903421735
2022-10-05,175972.3533498197
2022-10-06,176400.90593887618
2022-10-07,171808.50701045542
2022-10-10,169408.83259310466
2022-10-11,168066.96059878732
2022-10-12,168253.288506956
2022-10-13,173584.8814726528
2022-10-14,168510.19834372276
2022-10-17,172479.70900193002
2022-10-18,173606.49901089433
2022-10-19,175865.19052198713
2022-10-20,177872.51506394724
2022-10-21,182742.50326297706
2022-10-24,184978.6973752341
2022-10-25,187383.55947253158
2022-10-26,185800.78109405047
2022-10-27,184626.47975523263
2022-10-28,188888.84646386243
2022-10-31,187693.94136402145
2022-11-01,187411.80088706937
2022-11-02,183397.63206124655
2022-11-03,183243.9347199039
2022-11-04,186765.956767284
2022-11-07,189373.82175340844
2022-11-08,190550.50743455387
2022-11-09,184528.30386365598
2022-11-10,193918.78591534452
2022-11-11,198272.96654357188
2022-11-14,197038.51521384466
2022-11-15,200384.9228656479
2022-11-16,197196.60400237044
2022-11-17,196782.1568150543
2022-11-18,196025.85006396088
2022-11-21,194309.1781145553
2022-11-22,198050.67968141363
2022-11-23,198827.1675137137
2022-11-25,197954.13512510204
2022-11-28,194051.72428101953
2022-11-29,194648.11871949065
2022-11-30,200674.34249081253
2022-12-01,199934.75230518408
2022-12-02,199594.41983458007
2022-12-05,195860.236433574
2022-12-06,192463.88197280333
2022-12-07,192303.7276194983
2022-12-08,193385.01130364824
2022-12-09,191412.31047474506
2022-12-12,194374.9234496558
2022-12-13,196994.4067193418
2022-12-14,195868.82197881406
2022-12-15,190470.4499565163
2022-12-16,188700.8127777222
2022-12-19,187091.18983608522
2022-12-20,188214.03359609682
2022-12-21,191267.03429611214
2022-12-22,187095.14634440045
2022-12-23,189681.28085730894
2022-12-27,188988.2935989902
2022-12-28,185596.3476254501
2022-12-29,189343.20909481627
2022-12-30,189583.1267783736
2023-01-03,186786.2663645786
2023-01-04,187626.57386312532
2023-01-05,186930.1045292903
2023-01-06,190994.59937655347
2023-01-09,190636.96452453284
2023-01-10,192275.37292823367
2023-01-11,194092.99856476896
2023-01-12,195707.4062940731
2023-01-13,196984.9643949306
2023-01-17,196938.56390344928
2023-01-18,193888.98588310662
2023-01-19,193680.32235674575
2023-01-20,199117.11013923623
2023-01-23,202399.89884497446
2023-01-24,201827.81843647594
2023-01-25,202483.24413632922
2023-01-26,206082.32533458658
2023-01-27,205353.2182863649
2023-01-30,201287.39343893423
2023-01-31,204437.8020115871
2023-02-01,206304.13592133188
2023-02-02,207794.4056228049
2023-02-03,205128.12844750623
2023-02-06,203254.42733903156
2023-02-07,208315.95306939768
2023-02-08,205077.5532796741
2023-02-09,202909.4183338442
2023-02-10,203734.76798182167
2023-02-13,205738.62881035495
2023-02-14,206701.55253654748
